,cuentas,valor,trimestre,year
0,Total Activos Corrientes,"1,526,262",I,2017
1,Total Activos No Corrientes,"3,934,941",I,2017
2,Total Pasivos Corrientes,"1,795,865",I,2017
3,Total Pasivos No Corrientes,"1,177,396",I,2017
4,Total Patrimonio,"2,487,942",I,2017
0,Total Activos Corrientes,"1,673,823",II,2017
1,Total Activos No Corrientes,"3,930,084",II,2017
2,Total Pasivos Corrientes,"1,815,976",II,2017
3,Total Pasivos No Corrientes,"1,175,558",II,2017
4,Total Patrimonio,"2,612,373",II,2017
0,Total Activos Corrientes,"2,225,709",III,2017
1,Total Activos No Corrientes,"4,070,499",III,2017
2,Total Pasivos Corrientes,"2,407,193",III,2017
3,Total Pasivos No Corrientes,"1,091,819",III,2017
4,Total Patrimonio,"2,797,196",III,2017
0,Total Activos Corrientes,"2,172,402",IV,2017
1,Total Activos No Corrientes,"3,990,044",IV,2017
2,Total Pasivos Corrientes,"2,273,359",IV,2017
3,Total Pasivos No Corrientes,"1,005,401",IV,2017
4,Total Patrimonio,"2,883,686",IV,2017
0,Total Activos Corrientes,"2,050,611",I,2018
1,Total Activos No Corrientes,"4,029,864",I,2018
2,Total Pasivos Corrientes,"2,300,395",I,2018
3,Total Pasivos No Corrientes,"992,350",I,2018
4,Total Patrimonio,"2,787,730",I,2018
0,Total Activos Corrientes,"1,942,315",II,2018
1,Total Activos No Corrientes,"4,561,771",II,2018
2,Total Pasivos Corrientes,"2,131,533",II,2018
3,Total Pasivos No Corrientes,"1,482,701",II,2018
4,Total Patrimonio,"2,889,852",II,2018
0,Total Activos Corrientes,"2,088,153",III,2018
1,Total Activos No Corrientes,"4,949,103",III,2018
2,Total Pasivos Corrientes,"2,293,995",III,2018
3,Total Pasivos No Corrientes,"1,718,930",III,2018
4,Total Patrimonio,"3,024,331",III,2018
0,Total Activos Corrientes,"2,041,047",IV,2018
1,Total Activos No Corrientes,"5,097,948",IV,2018
2,Total Pasivos Corrientes,"2,257,000",IV,2018
3,Total Pasivos No Corrientes,"1,653,805",IV,2018
4,Total Patrimonio,"3,228,190",IV,2018
0,Total Activos Corrientes,"1,693,622",I,2019
1,Total Activos No Corrientes,"6,977,110",I,2019
2,Total Pasivos Corrientes,"2,194,661",I,2019
3,Total Pasivos No Corrientes,"3,435,202",I,2019
4,Total Patrimonio,"3,040,869",I,2019
0,Total Activos Corrientes,"1,787,724",II,2019
1,Total Activos No Corrientes,"7,058,534",II,2019
2,Total Pasivos Corrientes,"2,047,705",II,2019
3,Total Pasivos No Corrientes,"3,681,805",II,2019
4,Total Patrimonio,"3,116,748",II,2019
0,Total Activos Corrientes,"2,107,822",III,2019
1,Total Activos No Corrientes,"6,900,619",III,2019
2,Total Pasivos Corrientes,"2,303,003",III,2019
3,Total Pasivos No Corrientes,"3,359,370",III,2019
4,Total Patrimonio,"3,346,068",III,2019
0,Total Activos Corrientes,"1,821,219",IV,2019
1,Total Activos No Corrientes,"6,915,097",IV,2019
2,Total Pasivos Corrientes,"2,241,407",IV,2019
3,Total Pasivos No Corrientes,"3,068,404",IV,2019
4,Total Patrimonio,"3,426,505",IV,2019
0,Total Activos Corrientes,"2,395,665",I,2020
1,Total Activos No Corrientes,"6,928,387",I,2020
2,Total Pasivos Corrientes,"2,856,867",I,2020
3,Total Pasivos No Corrientes,"3,052,290",I,2020
4,Total Patrimonio,"3,414,895",I,2020
0,Total Activos Corrientes,"2,446,836",II,2020
1,Total Activos No Corrientes,"7,078,794",II,2020
2,Total Pasivos Corrientes,"2,914,134",II,2020
3,Total Pasivos No Corrientes,"3,052,612",II,2020
4,Total Patrimonio,"3,558,884",II,2020
