,cuentas,valor,trimestre,year
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"174,239",I,2017
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"78,372",I,2017
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"6,450",I,2017
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"414,119",I,2017
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"388,531",II,2017
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"115,021",II,2017
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"(137,999)",II,2017
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"525,629",II,2017
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"394,387",III,2017
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"71,077",III,2017
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"392,631",III,2017
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"1,015,116",III,2017
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"498,183",IV,2017
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(61,989)",IV,2017
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"183,403",IV,2017
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"776,208",IV,2017
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"42,505",I,2018
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"16,496",I,2018
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"(122,826)",I,2018
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"712,383",I,2018
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"209,977",II,2018
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(559,592)",II,2018
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"56,929",II,2018
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"483,522",II,2018
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"382,004",III,2018
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(809,443)",III,2018
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"223,780",III,2018
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"572,549",III,2018
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"650,598",IV,2018
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(922,541)",IV,2018
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"150,743",IV,2018
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"655,008",IV,2018
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"(83,071)",I,2019
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(1,743,335)",I,2019
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"1,350,358",I,2019
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"178,960",I,2019
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"13,107",II,2019
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(1,675,786)",II,2019
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"1,238,549",II,2019
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"230,878",II,2019
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"354,970",III,2019
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(1,350,106)",III,2019
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"964,455",III,2019
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"624,327",III,2019
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"327,858",IV,2019
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(1,316,814)",IV,2019
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"519,942",IV,2019
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"185,994",IV,2019
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"214,786",I,2020
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"17,726",I,2020
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"426,073",I,2020
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"844,579",I,2020
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"431,657",II,2020
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(11,487)",II,2020
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"321,473",II,2020
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"927,637",II,2020
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"771,889",III,2020
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(43,925)",III,2020
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"(393,594)",III,2020
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"520,364",III,2020
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"875,931",IV,2020
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(234,573)",IV,2020
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"(704,270)",IV,2020
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"123,082",IV,2020
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"28,436",I,2021
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"29,643",I,2021
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"7,294",I,2021
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"188,455",I,2021
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"602,839",II,2021
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(48,346)",II,2021
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"(184,749)",II,2021
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"492,826",II,2021
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"949,046",III,2021
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"216,645",III,2021
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"(771,818)",III,2021
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"516,955",III,2021
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"876,185",IV,2021
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"370,213",IV,2021
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"(1,136,068)",IV,2021
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"233,412",IV,2021
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"254,097",I,2022
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"(59,120)",I,2022
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"(286,246)",I,2022
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"142,143",I,2022
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"507,063",II,2022
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"211,723",II,2022
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"(550,492)",II,2022
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"401,706",II,2022
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"715,860",III,2022
1,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Inversión,"334,320",III,2022
2,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Financiación,"(895,588)",III,2022
3,Efectivo y Equivalente al Efectivo al Finalizar el Ejercicio,"388,004",III,2022
0,Flujos de Efectivo y Equivalente al Efectivo procedente de (utilizados en) Actividades de Operación,"1,103,482",IV,2022
